"gene_patient_celltype","d0","d1","d2","d5","d9","d15"
"MASTL_ec_Bcells",0.0432507163931356,0.0560105851907505,0.116518860278522,0.270852340084128,0.215150846109675,0
"AC067852.3_im_CD8cytotoxicT",0,0,0.00115063943847659,0,0,0
"DDR2_at_CyclingCD8T",0,0,0,0.00802338348107649,0.00813225746050786,0.0108125515230829
"LINC02427_sz_CIKcells",0,0,0,0,0.016311988940853,0.010410811662829
"GPLD1_rs_CD8naiveT",0,0.00867427170221252,0.210286240276737,0,0,0
"LINC00463_im_Monocytes",0,0,0,0,0,0
"ABCF2_gz_NK3adaptive/terminallymature",0.131928066014504,0,0.278292710489575,0.260557674873712,0.186769987961258,0.12809669186221
"YBX2_sz_CD4naiveT",0.00091545810710751,0,0,0,0,0
"AC019080.6_ev_NK1",0,0,0,0,0,0
"LINC02643_em_CD4memoryactivatedT",0,0,0,0,0,0
"LEUTX_im_CD8naiveactivatedT",0,0,0,0,0,0
"CD19_at_CIKcells",0,0,0,0.00238897068762818,0,0
"PEMT_rs_PlasmacytoidDC",0.101650033612624,0.0277050371261371,0.0336371926149465,0,0,0
"FAM240C_sz_CD4cytotoxicT",0,0,0,0,0,0
"AP004147.1_ec_NK1",0.0353316027539372,0,0,0,0,0
"LINC01749_im_CD4memoryT",0,0,0,0,0,0
"MRPL10_gz_PlasmacytoidDC",0.0714658539386271,0.104940219608025,0.0423367678873361,0,0,0
"AC117490.2_ec_MyeloidDC",0,0,0,0,0,0
"AC073115.1_at_CD8effectormemoryT",0,0.622968069313488,0.016399199612654,0,0,0
"AC092354.1_at_Bcells",0.00499802269855011,0,0,0,0,0
"ASXL3_sz_γδTcells",0,0,0,0,0,0
"ZFR_em_CD4memoryT",0.308272884074414,0.4901871566045,0.192704956999647,0,0,0
"ZNF558_at_CyclingCD8memoryactivatedT",0,0,0,0.013130831850313,0.013605659598685,0.0216313235737873
"DNAJC17_rs_CyclingCD8memoryactivatedT",0,0.215631344414771,0,0.234231106832937,0.204945784887891,0.177344489159693
"RNASEH1-AS1_rs_CD8memoryactivatedT",0,0,0,0.131786078795155,0.0659608475150266,0.0632255637202568
"SLC2A4RG_sz_NK3adaptive/terminallymature",0,0,0.0729087859756289,0.133151980639202,0.197729870632083,0.186643121829374
"AC004951.1_sz_Monocytes",0.00841246943939776,0,0,0,0,0
"AC093627.4_em_Neutrophils",0,0,0,0,0,0
"AC005592.2_rs_CD4naiveT",0,0,0,0,0,0
"AL034417.3_gz_MyeloidDC",0,0,0,0,0,0
"KRTAP12-4_ev_CD4cytotoxicT",0,0,0,0,0,0
"AC009312.1_at_CD8naiveactivatedT",0,0,0,0,0,0
"AC004053.1_gz_Bcells",0.0148594255052125,0.00409066682967375,0,0.00547847015654424,0,0
"ENPP6_em_CD8cytotoxicT",0,0,0.00663874380956309,0.0500650084895883,0,0
"FRMPD2_em_CD8memoryactivatedT",0,0,0,0,0,0
"AC022215.2_ev_γδTcells",0,0,0,0,0,0
"RUSC2_gz_Monocytes",0.164753403944528,0,0,0,0,0
"AC011473.1_rs_Monocytes",0,0,0,0,0,0
"AL513165.1_im_NK2/NKintermediate",0,0,0.00508862893484071,0,0,0
"AL135999.1_im_CyclingCD8T",0,0,0.02723482723848,0.00779958521758777,0,0
"DCBLD1_gz_CD4cytotoxicT",0,0.239569236793177,0.0555234299456721,0.0423313960521086,0.0730711654819402,0
"AC079062.1_im_CIKcells",0,0,0,0,0,0
"LINC02217_em_CD8naiveT",0,0,0,0,0,0
"AL022068.1_im_CD4cytotoxicT",0,0,0.000642308976332086,0,0,0
"ADAT2_at_CD8naiveT",0.1186058036104,0.0864704177463744,0,0,0,0
"GNG2_at_γδTcells",1.00868348825115,0.850210848887683,1.52980867673637,0.965927141830428,1.24812159547742,1.54112369542524
"SNPH_ev_PlasmacytoidDC",0,0,0,0,0,0
"AL356124.1_at_MyeloidDC",0,0.0212580472355473,0.0448330538595625,0,0,0
"ITPKA_ec_Monocytes",0.00182056003781086,0,0,0,0,0
"EPS8L1_at_CD8naiveT",0,0,0,0,0,0
"ZNF804B_rs_CIKcells",0,0,0,0,0,0
"ABHD11_em_Monocytes",0.0397084290249495,0,0,0,0,0
"HOXC-AS3_ev_CD4naiveT",0,0,0,0,0,0
"ST3GAL3_im_CD8cytotoxicT",0,0,0.214295779541494,0,0,0
"LINC02687_gz_NK1",0,0,0,0,0,0
"AC034229.1_sz_CyclingCD8memoryactivatedT",0,0,0,0,0,0
"AL353600.1_at_Neutrophils",0,0,0,0,0,0
"C1QTNF2_ec_CD8memoryactivatedT",0,0,0,0,0,0
"AC008269.1_ec_NK1",0.0138096837067654,0.014466682641295,0,0.0596850132489836,0,0
"MPZ_em_CD4naiveT",0,0.0124090656916362,0,0,0,0
"TEMN3-AS1_ec_γδTcells",0,0,0,0,0,0
"STK3_ec_CD4naiveT",0.0399116398565225,0.088183842351601,0.117981588325091,0,0,0
"AC017074.2_at_CD4naiveT",0,0,0,0,0,0
"P2RY2_at_CyclingCD8memoryactivatedT",0,0,0,0,0,0
"CYLC1_ec_NK1",0,0,0,0,0,0
"AL603783.1_em_CD4memoryactivatedT",0,0,0,0.0132350570942341,0.0210859122515307,0.0511941441638217
"ASB6_at_NK1",0.0305380034995277,0.00830867947962499,0,0,0,0
"IGHV3-76_gz_CyclingCD8memoryactivatedT",0,0,0,0,0,0
"WARS2-IT1_at_CyclingCD8T",0,0,0,0.00239560120958653,0,0.00228849443124593
"OGA_sz_PlasmacytoidDC",0.483634150933808,0.44506925320988,0.50748267140002,0,0,0
"PICALM_im_CD8effectormemoryT",0,1.00585673458787,0.89835101203536,0,0,0
"LINC01476_im_MyeloidDC",0,0,0.00157720444564121,0,0,0
"ZNF729_rs_CIKcells",0,0,0,0,0,0
"LINC01980_at_Monocytes",0,0,0,0,0,0
"RPIA_ev_CD4memoryT",0.120277918620899,0.182993898490635,0,0.58327905456498,0,0.352884556103346
"AC019257.9_im_NK3adaptive/terminallymature",0,0,0,0,0,0
"AL008638.3_ev_CD8memoryactivatedT",0,0,0,0,0,0
"AC011472.3_at_CD4memoryactivatedT",0,0,0,0.00158467051900115,0,0
"FAM242B_at_CD4memoryactivatedT",0,0,0,0,0,0
"CENPF_ec_NK1",0.00461185576534816,0.00697368083749452,0,0.0706372742123128,0.407906321318966,0
"AC016168.4_ec_CD4memoryT",0,0.00147628964967743,0,0,0,0
"KCNH4_sz_PlasmacytoidDC",0,0,0.015492926920638,0,0,0
"DNAJC30_ev_CyclingCD8T",0.448521417004058,0,0,0.0837514283789917,0.0491132727800996,0.0534053366559677
"SUGCT_im_CyclingCD8T",0,0,0.0311783552198791,0.0329154325457863,0.00797119124673361,0.0195250334501839
"ECM1_ev_CD4naiveT",0,0.0012012658569475,0,0,0,0
"AC099552.5_ev_CD4naiveT",0,0,0,0,0,0
"AC068931.1_rs_Bcells",0,0,0,0,0,0
"RAPGEF2_rs_CyclingCD8memoryactivatedT",0,0,0,0.150106503882525,0.154843078066983,0.138736312074879
"AC139795.2_ec_Bcells",0.00958855875210832,0.0484650834459634,0.00907635442416849,0.00957147766862802,0,0
"AL118505.1_im_CD4cytotoxicT",0,0,0,0,0,0
"FBXO6_em_Monocytes",0.0759462361285817,0,0,0,0,0
"PDZD7_sz_CD4memoryT",0.00362054221151005,0.00250289611402418,0,0,0,0
"ZNF217_sz_CD4cytotoxicT",0,0.18797751376224,0.196327043592773,0.440619033327356,0.368932327882066,0
"AC036214.4_ev_CD4cytotoxicT",0,0,0.0059646765133818,0,0,0
"AC073869.3_ev_CD4memoryT",0,0,0,0,0,0
"AL592546.3_at_NK3adaptive/terminallymature",0,0,0,0.00315582034869334,0.00166696287175261,0.00756080432704527
"AC004223.4_at_CD4memoryT",0,0,0,0,0,0
"CIDEC_at_NK2/NKintermediate",0,0,0,0,0,0
"LY6G6D_ec_CD8naiveT",0,0,0,0,0,0
"AC010998.3_im_CIKcells",0,0,0,0,0,0
"POLE4_ec_CD8memoryactivatedT",0,0,0,0.460405173234329,0.425628252056214,0.478898792708563
"OTP_gz_CD8memoryactivatedT",0,0,0,0,0,0
"LINC01345_sz_CD8naiveT",0,0,0,0,0,0
"PDCD7_gz_CD8naiveactivatedT",0.296385348517065,0,0.462004830651355,0.434216975783,0.310021673653996,0.304364790841117
"MTRNR2L5_im_CD4cytotoxicT",0,0,0,0,0,0
"SLC8B1_em_CD4memoryT",0.0631211780697108,0.104331565868562,0.229664796146001,0.610712977961687,0,0
"C9orf106_sz_Monocytes",0.00136371147259191,0,0,0,0,0
"AC022467.2_sz_CD4memoryT",0,0,0,0,0,0
"AC211486.8_rs_CyclingCD8memoryactivatedT",0,0,0,0,0,0
"IFT172_em_CD8naiveT",0.0132178367585086,0.0353427487662753,0,0,0,0
"IGHV5-10-1_gz_CD4naiveT",0,0,0,0,0,0
"CABP7_sz_Monocytes",0.00130807622886812,0,0,0,0,0
"PAIP2B_em_CD4naiveT",0.0553471623536326,0.0404807346345252,0.0567413944657404,0,0,0
"AC079177.1_gz_PlasmacytoidDC",0,0,0,0,0,0
"FAM174C_im_CD4memoryactivatedT",0.072219819388412,0.717644128174428,0,0.436582950154147,0.314663621334291,0.315056383843637
"LINC02444_ec_MyeloidDC",0,0,0,0,0,0
"ZNF426_im_CD8cytotoxicT",0,0,0.0661595772034952,0,0,0
"AC096536.1_rs_NK1",0,0,0,0,0,0
"AC026356.2_em_NK1",0.0325512385522563,0,0,0,0,0
"AL008582.1_ev_MyeloidDC",0,0,0,0,0,0
"RNF114_ev_CyclingCD8memoryactivatedT",0.403212389270518,0.294838672475284,0,0.183349042031353,0.128652824521641,0.153484143350649
"IQSEC2_em_NK2/NKintermediate",0,0,0.00897157666274349,0,0,0
"WFDC11_sz_NK1",0.00378264303568199,0,0,0,0,0
"LAPTM4A-DT_im_CD8memoryactivatedT",0,0,0,0,0,0
"AL391335.1_em_γδTcells",0,0.0165961922146943,0,0,0,0
"UBTD2_rs_Neutrophils",0,0.299494049252671,0,0,0,0
"TCF25_em_NK2/NKintermediate",0,1.13894484881046,1.10686755539169,0.815322996739748,0,0
"LINC00944_ev_CD4cytotoxicT",0,0.123145046430419,0.0582111861079329,0.0690103271427182,0,0
"RAD18_gz_MyeloidDC",0,0.0407438661163303,0.149649031264376,0,0,0
"RGS3_sz_Monocytes",0.0285879124887956,0,0,0,0,0
"TP53INP1_im_CD8memoryactivatedT",0,0,0,0.033459888876075,0.0279472416659417,0.0352975023954347
"LINC02332_ev_NK3adaptive/terminallymature",0,0,0,0.00312780684271279,0.00801408169893181,0
"GPR150_at_γδTcells",0.00657520877706747,0.00146386024322041,0,0,0,0
"AL592164.1_at_CD8cytotoxicT",0,0,0,0,0,0
"TMEM269_ev_CD4memoryactivatedT",0,0,0,0.00472726387418663,0.0115486039823491,0.0142283503130803
"L34079.3_at_Neutrophils",0,0,0,0,0,0
"LRRC52-AS1_em_NK1",0,0,0,0,0,0
"AC095057.4_at_Bcells",0.00750782456618437,0.00291418736351149,0,0,0.010497055428871,0
"AC108673.2_ev_CIKcells",0,0,0,0,0,0
"NR1D1_em_PlasmacytoidDC",0,0,0,0,0,0
"KRTAP5-2_rs_NK2/NKintermediate",0,0,0,0,0,0
"MAD2L1BP_sz_CD8effectormemoryT",0,0,0.111956824373089,0,0,0
"AC092134.3_em_CyclingCD8T",0,0,0,0.000426481553827683,0,0
"SCPEP1_rs_Monocytes",0.580953490060799,0,0,0,0,0
"LANCL1-AS1_at_CD4memoryactivatedT",0.0435511492812789,0,0,0.0142777485811422,0.0205724699049748,0.00665170421021588
"AC027097.1_gz_CD8effectormemoryT",0,0,0.0921760301233491,0,0,0
"PLEKHA8_sz_CD8naiveT",0.0285256516100967,0.0493826659977371,0,0,0,0
"AC021549.1_sz_CD4naiveT",0,0,0,0,0,0
"SSX1_sz_CyclingCD8memoryactivatedT",0,0,0,0,0,0
"C11orf42_im_CD8naiveactivatedT",0,0,0,0,0.00119964570452422,0.00181004735009298
"AC019131.1_at_PlasmacytoidDC",0,0,0,0,0,0
"FZD8_im_CD8cytotoxicT",0,0,0.00102113658239708,0,0,0
"AC025766.1_at_CyclingCD8T",0,0,0,0.000438006652046883,0.000956283043792245,0
"MYMX_sz_MyeloidDC",0,0,0,0,0,0
"DKKL1_gz_CD4naiveT",0,0,0,0,0,0
"FLAD1_em_CD8naiveT",0.0508001026845421,0.0554035730278944,0.145997475594676,0,0,0
"AC091163.1_im_NK1",0,0,0,0,0,0
"TRIP11_rs_NK2/NKintermediate",0,0.178375209880944,0.345958117982023,0.121839851386612,0,0
"TRAJ55_at_CD8naiveactivatedT",0,0,0,0,0,0
"TMEM179B_gz_CD8memoryactivatedT",0.226607244527903,0,0,0.415421134188057,0.357896113761107,0.42192542995519
"PRPH2_at_CD4memoryactivatedT",0,0,0,0.00838873527980596,0.00525032903879033,0
"CCL3_em_CyclingCD8memoryactivatedT",0,0,1.3963073011629,1.86094508859415,0.973773875751186,0.814586503276216
"HMGXB4_em_CD4cytotoxicT",0,0.391834435705783,0.307882870290892,0.274721566399261,0.271006402664448,0
"DENND5B_at_Monocytes",0.0207848598846391,0,0,0,0,0
"AL355834.1_at_MyeloidDC",0,0,0,0,0,0
"LINC01611_em_MyeloidDC",0,0,0,0,0,0
"AC114737.1_im_NK2/NKintermediate",0,0,0,0,0,0
"ARL5A_ec_CD8cytotoxicT",0,0,0.910039247137149,0,0.713580506360294,0
"AL359258.2_im_CD8naiveactivatedT",0,0,0,0,0.00438039305183385,0.00837370649169293
"AC005696.2_ec_γδTcells",0,0,0,0,0,0
"MAP11_sz_CD4memoryactivatedT",0.0352127877074383,0,0,0.0154660410899647,0.0263398562729134,0.0124683999124475
"AP006284.1_sz_MyeloidDC",0,0,0,0,0,0
"AC087623.3_at_CyclingCD8T",0,0,0,0.00367862380351787,0,0
"PCBP4_sz_CD4memoryT",0.0239827943520008,0.02353196164231,0,0,0,0
"AC009055.1_at_NK1",0,0,0,0,0,0
"SURF1_ev_CD8effectormemoryT",0,0,0.215253716867393,0.199101443175897,0,0
"SEPTIN9-DT_ec_CIKcells",0,0,0,0,0,0
"CRNKL1_ev_CD8cytotoxicT",0,0,0.283318558504095,0.610824553186976,0,0
"SMKR1_ev_γδTcells",0.0466431993227312,0.0296820308627384,0,0,0,0
"INSR_gz_Monocytes",0.419672759260999,0,0,0,0,0
"UCN3_sz_CD8cytotoxicT",0,0,0,0,0,0
"AC004893.3_rs_PlasmacytoidDC",0,0,0,0,0,0
"CNOT10_gz_CD8memoryactivatedT",0.442715330443944,0,0,0.299655945722854,0.328131799814748,0.369360396870107
"AC103758.1_at_CD8effectormemoryT",0,0,0,0,0,0
"AC104451.2_sz_γδTcells",0,0,0,0,0,0
"AC021683.5_im_Monocytes",0.00105614590671708,0,0,0,0,0
"LZTS2_ev_γδTcells",0.00995006301041796,0.021197800214081,0,0,0,0
"NUMBL_ev_NK1",0.00848502353486003,0.00884710708796983,0,0,0,0
"SNRPB2_gz_CyclingCD8memoryactivatedT",0.810814801690428,1.05116578265852,1.40333331289906,0.874421526144159,1.02031616150344,0.955955448455118
"AL121936.1_ec_CD4cytotoxicT",0,0,0.000877659519508327,0,0,0
"NAA50_ec_γδTcells",0.471951574035173,0.576689900858989,0.342103578326324,0.240708668715592,0.931165326426002,0
"AC027607.1_ec_Bcells",0,0,0,0,0,0
"AC008073.1_ev_Monocytes",0,0,0,0,0,0
"HECW1_rs_NK2/NKintermediate",0,0,0.000767614821491062,0,0,0
"LINC01137_at_Bcells",0,0.00203255451279545,0.0129793865418432,0.0309306179392253,0.0238459557001372,0
"AP003119.1_sz_NK2/NKintermediate",0,0,0,0,0,0
"AC080129.2_sz_CD8cytotoxicT",0,0,0,0,0,0
"PEX1_gz_CD8naiveT",0.0641247722686559,0.177541158789758,0,0,0,0
"NRXN3_gz_NK1",0,0.00500595921124518,0,0,0,0
"AKR1C4_sz_NK1",0.0131895958861008,0.019573301174419,0,0,0,0
"LINC02745_gz_CIKcells",0,0,0,0,0,0
"ADRA2B_im_γδTcells",0,0,0,0,0,0
"PRR26_ev_NK2/NKintermediate",0,0,0,0,0,0
"AL807757.2_gz_NK2/NKintermediate",0,0,0,0,0,0
"HOXA11-AS_em_CyclingCD8T",0,0,0,0.000215645487153019,0.000373336879621921,0
"ARHGEF9-IT1_ev_PlasmacytoidDC",0,0,0,0,0,0
"VASN_em_Bcells",0.00963150744183723,0,0.00248929067357556,0,0,0
"LINC02820_im_CD8memoryactivatedT",0,0,0,0,0,0
"MTMR6_em_MyeloidDC",0,0.241046190763811,0.206985786260028,0,0,0
"LYPLAL1_sz_Neutrophils",0.105340971088274,0,0,0,0,0
"TRANK1_em_Bcells",0.187531712298669,0.506117352219785,0.455641474767137,0.13369794394742,0.222714161341029,0
"SLC25A33_sz_CyclingCD8memoryactivatedT",0,0,0,0.143075517535503,0.126313415251511,0.089458890600797
"PTP4A1_im_PlasmacytoidDC",0,0,0,0,0,0
"CBLN3_rs_CD4memoryT",0,0.00812084135014609,0,0,0,0
"TNFRSF10C_sz_Monocytes",0.067950615908676,0,0,0,0,0
"CASZ1_gz_CyclingCD8memoryactivatedT",0,0,0,0.0455255122537538,0.0280162100186051,0.0337263151595601
"AP005210.2_ec_PlasmacytoidDC",0,0,0,0,0,0
"AP003307.1_ec_PlasmacytoidDC",0,0,0,0,0,0
