,index,Pattern,Size,Median_Score,P_Value,Q_Value_FWER,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
0,26,PATTERN_66,6,1.6683797654387578e-05,0.000999000999000999,0.001998001998001998,"RNF111, UBC, UBE2D1, UBE2D2, UBE2N, ZNRF2",0.6873,0.4993,1.376,0.0006888175374158254
1,10,PATTERN_34,30,1.5355048518797796e-05,0.000999000999000999,0.001998001998001998,"ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, DOCK1, LAMTOR1, LAMTOR2, LAMTOR3, MLST8, MTOR, TCIRG1",0.2544,0.1936,1.314,0.00431560454919595
2,18,PATTERN_53,16,2.3650113723682617e-05,0.000999000999000999,0.001998001998001998,"ADA2, AMPD3, APRT, BTN3A1, BTN3A2, BTN3A3, CANT1, IL1F10, IL2, IMPDH1, IMPDH2, KPNA7, NME2, PKM, PNP, XDH",0.3461,0.2598,1.332,0.005508420770395186
3,27,PATTERN_66,6,2.5084694532310955e-05,0.000999000999000999,0.001998001998001998,"BTN3A1, BTN3A2, BTN3A3, IL1F10, PSMB9, XDH",0.4027,0.3015,1.335,0.007131478658390652
4,14,PATTERN_41,12,1.5164721247300012e-05,0.002997002997002997,0.002997002997002997,"ALDOA, ALDOC, DERA, GPI, HK3, PFKL, PGAM1, PGM1, PGM2, PKM, PRDX6, TALDO1",0.3375,0.2441,1.383,0.00512439710559
5,23,PATTERN_63,11,3.6395901438926124e-06,0.002997002997002997,0.002997002997002997,"CLTC, EEA1, GDI2, PIK3C3, RAB10, RAB14, RAB5B, RAB5C, RAB7A, RBSN, VAMP2",0.4007,0.2873,1.395,0.00043395059747397937
6,7,PATTERN_28,4,2.0689071806342446e-05,0.000999000999000999,0.003996003996003996,"MAVS, PCBP2, TRIM14, USP14",0.3774,0.2919,1.293,0.015187180801794785
7,28,PATTERN_67,3,3.4368347219987605e-05,0.001998001998001998,0.005994005994005994,"RNASE2, RNASE6, RNASET2",0.1641,0.1018,1.612,0.0008328333532819043
8,8,PATTERN_28,4,1.205236101789603e-05,0.001998001998001998,0.007992007992007992,"UBE2Q1, UBE2Q2, UBE2R2, UBE2Z",0.2669,0.1924,1.387,0.0013917020783869834
9,6,PATTERN_28,23,2.590763617373761e-05,0.001998001998001998,0.007992007992007992,"BTBD1, CUL3, FBXL14, FBXL5, GAN, GLMN, KBTBD6, KBTBD7, KBTBD8, KEAP1, KLHL13, KLHL2, KLHL20, KLHL21, KLHL22, KLHL25, KLHL3, KLHL41, KLHL42, KLHL9, RBX1, UBA1, UBE2M",0.174,0.1365,1.274,0.01399702732732015
10,30,PATTERN_71,5,3.152752040379486e-06,0.008991008991008992,0.008991008991008992,"CLCF1, CNTF, CNTFR, CRLF1, LIFR",0.0047,0.0028,1.698,0.00031029478952256887
11,31,PATTERN_72,6,1.774249817079664e-05,0.005994005994005994,0.011988011988011988,"CALM3, CALML5, CAMK2A, CAMK2B, CAMK2D, CAMK2G",0.2896,0.2226,1.301,0.0370599561870018
12,19,PATTERN_56,3,1.462976802318589e-05,0.006993006993006993,0.013986013986013986,"LY86, RNASE6, RNASET2",0.2721,0.1069,2.546,4.996460978264477e-08
13,5,PATTERN_27,3,2.393835910507995e-05,0.004995004995004995,0.014985014985014984,"ADGRE5, CD55, CD59",0.3663,0.2935,1.248,0.016459178446568582
14,24,PATTERN_64,4,2.2090468936834913e-05,0.007992007992007992,0.015984015984015984,"APOB, CYB5R3, HBB, HP",0.1095,0.0746,1.467,0.00019773403327938646
15,9,PATTERN_31,3,1.6200524253540184e-05,0.007992007992007992,0.015984015984015984,"EIF4A3, PPIE, SNRPA1",0.3329,0.2496,1.334,0.011846541046650122
16,29,PATTERN_70,3,9.088394485918763e-06,0.008991008991008992,0.017982017982017984,"APOB, GM2A, NPC2",0.2419,0.1528,1.583,0.00048023605381415565
17,20,PATTERN_57,8,1.4128361077317359e-05,0.01898101898101898,0.01898101898101898,"ACTR2, ACTR3, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, GMFG",1.1778,0.9324,1.263,0.02851263772758471
18,33,PATTERN_9,6,2.4260260245298037e-05,0.02197802197802198,0.02197802197802198,"LNPEP, RAB10, RAB14, SNAP23, STX4, VAMP2",0.3928,0.2981,1.318,0.004003780833024257
19,3,PATTERN_16,4,1.9652029116942992e-05,0.007992007992007992,0.023976023976023976,"APOB, CYB5R3, HBB, HP",0.1095,0.0746,1.467,0.00019773403327938646
20,25,PATTERN_65,6,1.4579334393790236e-05,0.006993006993006993,0.027972027972027972,"ARMC8, UBA1, UBA7, UBE2H, UBE2W, YPEL5",0.2526,0.177,1.427,0.00040530065001339693
21,2,PATTERN_12,4,3.193770281113925e-05,0.005994005994005994,0.02997002997002997,"TRIM17, TRIM39, TRIM9, UBE2D1",0.0548,0.0407,1.345,0.0034373303574209493
22,17,PATTERN_5,3,3.538407099096785e-05,0.007992007992007992,0.03196803196803197,"MOSPD2, OSBPL1A, VAPA",0.2536,0.1998,1.27,0.020023970972540522
23,11,PATTERN_35,4,9.532427779875168e-06,0.006993006993006993,0.03496503496503497,"EEA1, GDI2, RAB5B, RAB5C",0.409,0.248,1.649,2.5903273330917666e-06
24,12,PATTERN_36,3,2.020339171885623e-05,0.006993006993006993,0.03496503496503497,"PJA1, UBE2D2, ZNRF2",0.4241,0.3211,1.321,0.005508420770395186
25,1,PATTERN_10,4,3.7748178984696345e-05,0.005994005994005994,0.03596403596403597,"APEH, GLB1, IST1, NCSTN",0.1567,0.1163,1.348,0.008938924900283916
26,13,PATTERN_37,18,1.2436991612832774e-05,0.012987012987012988,0.03896103896103896,"GDI2, LNPEP, RAB10, RAB14, RAB5B, RAB5C, RBSN, SEC22B, SNAP23, SNAP25, SNAP29, STX1A, STX3, STX4, VAMP2, VAMP3, VAMP7, VAMP8",0.2672,0.2055,1.301,0.006058092386522581
27,16,PATTERN_48,3,1.8317758603363196e-05,0.03996003996003996,0.03996003996003996,"ASB12, CUL5, RNF7",0.2813,0.2263,1.243,0.03964818393170307
28,32,PATTERN_72,3,2.350479144782141e-05,0.02097902097902098,0.04195804195804196,"ARMC8, UBE2H, YPEL5",0.3287,0.2188,1.502,0.00023806580426227872
