,index,Pattern,Size,Median_Score,P_Value,Q_Value_FDR,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
0,39,PATTERN_64,7,1.1776002626740304e-05,0.000999000999000999,0.000999000999000999,"APOB, CYB5R3, HBB, HP, SAR1B, SEC24B, SURF4",0.1955,0.1326,1.475,3.10163643037002e-05
1,20,PATTERN_45,15,1.4273243161098243e-05,0.001998001998001998,0.003996003996003996,"AMPD3, APRT, ARSA, CANT1, CTSA, CTSB, CTSD, CTSS, GALNS, GLA, GLB1, IMPDH1, IMPDH2, NEU1, PNP",0.2169,0.1753,1.238,0.026041762885900644
2,10,PATTERN_31,12,9.180040640494634e-06,0.000999000999000999,0.004995004995004995,"BCL2, BCL2L1, CD74, CPPED1, CST3, CSTB, CTSB, CTSD, CTSH, CTSL, CTSS, LGMN",0.4731,0.3222,1.468,0.0002294690284111731
3,43,PATTERN_67,3,4.0248113052688e-06,0.005994005994005994,0.005994005994005994,"RNF123, UBAC1, VIM",0.8495,0.5196,1.635,2.4384348967762845e-05
4,18,PATTERN_42,4,5.335748427081246e-06,0.002997002997002997,0.005994005994005994,"UBE2Q1, UBE2Q2, UBE2R2, UBE2Z",0.2543,0.193,1.317,0.015497350831199097
5,16,PATTERN_40,5,2.361309256467208e-05,0.000999000999000999,0.006993006993006993,"CAPN1, FTH1, FTL, HMOX1, PLA2G6",1.1237,0.8638,1.301,0.001562626511567039
6,19,PATTERN_43,3,1.832183534694789e-05,0.007992007992007992,0.007992007992007992,"LNPEP, RAB10, RAB14",0.5246,0.3859,1.359,0.0009427780813554497
7,51,PATTERN_9,23,2.670267159219229e-05,0.001998001998001998,0.007992007992007992,"COPB1, GDI2, LNPEP, RAB10, RAB14, SAR1B, SEC13, SEC22B, SEC23A, SEC24A, SEC24B, SEC24C, SEC24D, SEC31A, SNAP23, SNAP25, SNAP29, STX1A, STX3, STX4, VAMP2, VAMP3, VAMP8",0.2941,0.2107,1.396,0.0004489265741848019
8,25,PATTERN_53,8,3.750139355004303e-06,0.003996003996003996,0.007992007992007992,"C1QB, CST3, CSTB, CTSB, CTSH, CTSL, CTSS, MT2A",0.4178,0.311,1.344,0.002644999815590303
9,37,PATTERN_63,3,1.2162343679378301e-05,0.003996003996003996,0.007992007992007992,"CAPN1, FTH1, FTL",1.8424,1.4203,1.297,0.0019055631669592282
10,48,PATTERN_72,3,4.165275548790882e-06,0.002997002997002997,0.008991008991008992,"CAPN1, FTH1, FTL",1.8424,1.4203,1.297,0.0019055631669592282
11,24,PATTERN_53,23,4.366860580896132e-06,0.006993006993006993,0.009324009324009324,"ABI1, ACTB, ACTG1, ACTR2, ACTR3, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, BRK1, CDC42, CFL1, CYFIP1, CYFIP2, NCKAP1, NCKAP1L, WAS, WASF1, WASF2, WASF3, WASL",1.0113,0.6438,1.571,4.0254223473285635e-06
12,34,PATTERN_62,18,1.771704016571186e-05,0.005994005994005994,0.00999000999000999,"CRCP, POLR1C, POLR2E, POLR2F, POLR2H, POLR2K, POLR2L, POLR3A, POLR3B, POLR3C, POLR3D, POLR3E, POLR3F, POLR3G, POLR3GL, POLR3H, POLR3K, UBA52",0.3493,0.273,1.279,0.013431403568861714
13,36,PATTERN_62,5,4.655885994461364e-05,0.002997002997002997,0.00999000999000999,"ATP11A, ATP11B, ATP8A1, ATP8B4, TMEM30A",0.3654,0.2581,1.416,0.0030989778023044817
14,27,PATTERN_54,7,6.021586301340779e-06,0.00999000999000999,0.00999000999000999,"GDI2, LNPEP, RAB10, RAB14, SNAP23, STX4, VAMP2",0.4339,0.3159,1.373,0.0007342034494174374
15,31,PATTERN_59,24,2.2187415093412885e-05,0.006993006993006993,0.011655011655011656,"ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, TCIRG1",0.267,0.2002,1.334,0.0009427780813554497
16,32,PATTERN_59,12,2.3735927844965938e-05,0.004995004995004995,0.011655011655011656,"ARSA, ASAH1, CTSA, FUCA1, FUCA2, GALNS, GLA, GLB1, GNS, HEXB, NEU1, PSAP",0.1207,0.1005,1.201,0.0224476725650818
17,52,PATTERN_9,11,3.682772601649449e-05,0.005994005994005994,0.011988011988011988,"AMPD3, APRT, CANT1, FTL, HMOX1, IMPDH1, IMPDH2, MTAP, NME2, PLA2G6, PNP",0.5633,0.4569,1.233,0.04826319721749349
18,23,PATTERN_50,3,8.885417453686535e-06,0.003996003996003996,0.011988011988011988,"UBE2A, UBR1, UBR2",0.4674,0.3086,1.514,0.0001243246100461915
19,44,PATTERN_68,3,4.197613688759312e-06,0.011988011988011988,0.011988011988011988,"ADGRE5, CD55, CD59",0.4182,0.2909,1.438,0.0005669749046201821
