369	SIGLEC10
370	SIRT2
371	SIT1
372	SKAP1
373	SLAMF1
374	SLAMF6
375	SLAMF7
376	SLPI
377	SQSTM1
378	SRC
379	SYK
380	TAP1
381	TAP2
382	TAPBPL
383	TBK1
384	TBKBP1
385	TEC
386	TFE3
387	TFEB
388	THEMIS
389	TICAM1
390	TICAM2
391	TIFA
392	TIRAP
393	TLR1
394	TLR10
395	TLR2
396	TLR3
397	TLR4
398	TLR5
399	TLR6
400	TLR7
401	TLR8
402	TLR9
403	TNFRSF13B
404	TNFRSF13C
405	TNFRSF14
406	TNFRSF17
407	TNFSF13
408	TNFSF13B
409	TNFSF18
410	TOLLIP
411	TRAF3
412	TRAF6
413	TRAT1
414	TRDV1
415	TREML4
416	TRIL
417	TRIM13
418	TRIM14
419	TRIM23
420	TRIM25
421	TRIM26
422	TRIM29
423	TRIM38
424	TRIM4
425	TRIM5
426	TRIM56
427	TRIM8
428	TRPM4
429	TXK
430	TYROBP
431	ULBP1
432	ULBP2
433	ULBP3
434	UNC93B1
435	USP14
436	VSIG4
437	VTCN1
438	XRCC5
439	XRCC6
440	YTHDF1
441	YTHDF2
442	ZAP70
443	ZBP1
444	ZC3H12A
445	ZC3HAV1
446	ZCCHC3
447	ZNF683
